oid,ana,bid
100019010,snr,100019060
100019020,stdprod,100019060
100019030,snr,100019060
100019050,snr,100019060
100026010,snr,100026020
100049010,snr,506007010
100049020,snr,506007010
100049030,snr,506007010
100049040,snr,506007010
101013010,snr,506007010
102007010,snr,506007010
102008010,snr,506007010
102010010,snr,506007010
103002010,snr,506007010
103003010,snr,506007010
104015010,snr,506007010
104016010,snr,506007010
104017010,snr,506007010
105007010,snr,506007010
105007030,snr,506007010
106004010,snr,506007010
106004020,snr,506007010
107004010,snr,506007010
107004020,snr,506007010
108004010,snr,506007010
108004020,snr,506007010
109004010,snr,506007010
109004020,snr,506007010
404070010,snr,500010020
500004010,snr,505030010
500010010,snr,500010020
500016010,snr,100019060
500017010,stdprod,100019060
500020010,snr,506007010
500021010,snr,506007010
500022010,snr,506007010
500023010,snr,506007010
501006010,snr,506054010
501006020,snr,506054010
501007010,stdprod,100026020
501012010,snr,506007010
501013010,snr,506007010
501016010,snr,506007010
501017010,snr,506007010
501018010,snr,506007010
501019010,snr,506007010
501020010,snr,506007010
501028010,snr,506007010
501029010,snr,506007010
501030010,snr,506007010
501031010,snr,506007010
501032010,snr,506007010
501033010,snr,506007010
501034010,snr,506007010
501035010,snr,506007010
501036010,snr,506007010
501037010,snr,505030010
501063010,snr,100026020
501064010,snr,100026020
501065010,snr,100026020
501068010,snr,100026020
501069010,snr,100026020
501070010,snr,100026020
501072010,snr,100026020
501085010,snr,500010020
501107010,snr,500010020
501108010,snr,500010020
501109010,snr,500010020
501110010,snr,500010020
502023010,snr,500010020
502024010,snr,500010020
502025010,snr,500010020
502026010,snr,500010020
502027010,snr,500010020
502029010,snr,500010020
502030010,snr,500010020
502031010,snr,500010020
502032010,snr,500010020
502033010,snr,500010020
502034010,snr,500010020
502035010,snr,500010020
502036010,snr,500010020
502037010,snr,500010020
502038010,snr,500010020
502039010,snr,500010020
502040010,snr,500010020
502046010,stdprod,100019060
503001010,snr,505030010
503002010,snr,505030010
503003010,snr,505030010
503004010,snr,505030010
503031010,snr,500010020
503032010,snr,500010020
503034010,snr,500010020
503036010,snr,500010020
503038010,snr,500010020
503039010,snr,500010020
503040010,snr,500010020
503041010,snr,500010020
503042010,snr,500010020
503043010,snr,500010020
503044010,snr,500010020
503045010,snr,500010020
503046010,snr,500010020
503047010,snr,500010020
503048010,snr,500010020
503049010,snr,500010020
503050010,snr,500010020
503055010,snr,506008010
503056010,snr,506008010
503057010,snr,506008010
503058010,snr,506008010
503059010,snr,506008010
503060010,snr,506008010
503061010,snr,506008010
503062010,snr,506008010
503063010,snr,506008010
503064010,snr,506008010
503085010,stdprod,500025010
504005010,snr,506008010
504006010,snr,506008010
504007010,snr,506008010
504008010,snr,506008010
504009010,snr,506008010
504010010,snr,506008010
504011010,snr,506008010
504012010,snr,506008010
504013010,snr,506008010
504014010,snr,506008010
504015010,snr,506008010
504016010,snr,506008010
504017010,snr,506008010
504018010,snr,506008010
504032010,snr,504031010
504066010,snr,503091010
504067010,snr,503091010
504097010,stdprod,100026020
505001010,snr,506054010
505004010,snr,508021010
505005010,snr,500008010
505006010,snr,500008010
505009010,snr,506008010
505010010,snr,506008010
505011010,snr,506008010
505012010,snr,506008010
505013010,snr,506008010
505014010,snr,506008010
505015010,snr,506008010
505016010,snr,506008010
505017010,snr,506008010
505018010,snr,506008010
505019010,snr,506008010
505020010,snr,506008010
505021010,snr,506008010
505022010,snr,506008010
505023010,snr,506008010
505024010,snr,506008010
505055010,snr,506008010
505068010,snr,500010020
505069010,snr,500010020
505070010,snr,500010020
505071010,snr,500010020
506011010,snr,506008010
506012010,snr,506008010
506013010,snr,506008010
506014010,snr,506008010
506015010,snr,506008010
506016010,snr,506008010
506036010,snr,500008010
506041010,snr,500010020
506042010,snr,500010020
506043010,snr,500010020
506044010,snr,500010020
506045010,snr,500010020
506046010,snr,500010020
506047010,snr,500010020
506048010,snr,500010020
506049010,snr,500010020
506050010,snr,500010020
506057010,snr,500010020
506060010,snr,500010020
506060020,snr,500010020
506061010,snr,403005010
507015020,snr,506054010
507015030,snr,506054010
507015040,snr,506054010
507048010,snr,500010020
507049010,snr,500010020
507050010,snr,500010020
507051010,snr,500010020
507052010,snr,500010020
507053010,snr,500010020
508002010,snr,508021010
508003010,snr,508021010
508003020,snr,508021010
508004010,snr,508021010
508005010,snr,508021010
508006010,snr,500008010
508006020,snr,500008010
508017010,snr,100026020
508036010,snr,500010020
508037010,snr,500010020
508038010,snr,500010020
508042010,snr,500010020
508043010,snr,500010020
508044010,snr,500010020
508045010,snr,500010020
508046010,snr,500010020
508047010,snr,500010020
508060010,snr,500010020
508061010,snr,500010020
508062010,snr,500010020
508067010,snr,100026020
508068010,snr,100026020
509011010,snr,500010020
509012010,snr,500010020
509013010,snr,500010020
509014010,snr,500010020
509015010,snr,500010020
509016010,snr,500010020
509017010,snr,500010020
509018010,snr,500010020
509022010,snr,703019010
509022020,snr,703019010
509023010,snr,703019010
509024010,snr,703019010
509024020,snr,703019010
509068010,snr,503091010
509069010,snr,503091010
509070010,snr,503091010
509071010,snr,503091010
509082010,stdprod,509086010
509082020,stdprod,509086010
