     ID   |     OBSID  |   RA   |     DEC   |    TIME      |       EXPOSURE  |   NAME      |     DUMMY
      1|806026010| 79.88650|-69.03800|55782.8380324074|347568.10000|SNR 0519-69.0           |
      2|503085010|  6.31390| 64.14690|54682.0646759259|312892.00000|TYCHO SNR               |
      3|507068010|249.87820|-47.83140|56172.5530439815|304148.40000|G337.2-0.7              |
      4|705031020| 53.39760|-36.14120|55392.8956597222|302175.30000|NGC 1365                |
      5|703023010|180.79840| 44.53940|54776.3187847222|274530.50000|NGC 4051                |
      6|802034010|228.60590| 36.61980|54463.6508449074|268889.80000|MS 1512.4+3647          |
      7|509082020|225.85700|-42.03900|57063.4521643519|258382.00000|SN1006_SE1              |
      8|708038010|168.65820| 32.68290|56425.1110185185|252299.20000|IRAS F11119+3257        |
      9|704062010|166.86560| 72.62130|   55132.2328125|251355.50000|NGC3516                 |
     10|708037010|275.46760| 64.35920|56398.4117013889|246583.90000|H1821+643               |
     11|706029010|226.00910| 10.45870|55931.8646180556|244351.80000|MRK 841                 |
     12|705063010| 20.84800|-58.77840|55335.1255671296|229296.30000|FAIRALL 9               |
     13|801065010|190.91480| 11.55700|54098.4203703704|224030.40000|NGC 4649                |
     14|707023020|214.84520|-26.64600|56130.0282407407|224025.50000|ESO 511-G030            |
     15|805069010| 28.26730|-13.49830|55560.2543634259|223966.30000|NGC 720 OFFSET          |
     16|804039010| 77.15000|-68.73590|55194.4728356482|223899.90000|N103B                   |
     17|502049010|255.68740|-42.07090| 54550.458599537|215693.20000|HESS J1702-420          |
     18|502046010|225.72680|-41.94240|54521.6264351852|211737.30000|SN1006                  |
     19|704063010|174.72010|-37.78460|55022.9100115741|209503.40000|NGC3783                 |
     20|702041010| 66.51160|-57.21100|54306.2319328704|205862.80000|1H0419-577              |
     21|908005010|148.90970| 69.66250|56746.5128009259|205780.20000|SN 2014J                |
     22|803051010|193.86290| 27.28830|54823.8794328704|205062.00000|COMA RADIO RELIC        |
     23|703048010| 82.73070| 13.59050|54736.1098611111|203457.40000|PKS 0528+134            |
     24|402015010|276.56330|-14.91090|54352.6780555556|203239.90000|LS 5039                 |
     25|504004020|266.87880|-28.44360| 55096.836412037|202094.50000|SGR_B2                  |
     26|503104010| 39.20550|-35.72830|54830.2554861111|201877.50000|ARC_BACKGROUND          |
     27|509082010|225.86410|-42.03840|56883.8521064815|201832.20000|SN1006_SE1              |
     28|506052010|261.92270|-35.11190|55988.8605671296|201547.40000|G352.7-0.1              |
     29|408029010| 82.24950| -3.56300|56732.3915856481|200548.70000|V1159 ORI               |
     30|505063010| 83.81770|-70.59270|    55308.023125|199779.50000|DEM L238                |
     31|807035010|308.69890| 60.19680|56060.7040393519|198879.00000|NGC6946                 |
     32|701003010|201.32700|-38.41600|54126.2420601852|197937.60000|IRAS13224-3809          |
     33|706037010|193.92050| 56.86030|55678.6054282407|197511.30000|MRK 231                 |
     34|701056010|262.08070|-14.26040|54155.7486574074|190600.20000|PDS 456                 |
     35|509072010|200.47530|-63.56020|56889.7845833333|190011.40000|G306.3-0.9              |
     36|807007010| 81.50750|-66.08210|56056.8032986111|184543.00000|N49                     |
     37|706042010| 68.29840|  5.34960|55966.4234143519|183001.50000|3C120                   |
     38|409018020| 52.80520| 43.89740| 57086.777037037|182886.00000|GK PER                  |
     39|707019010|149.44350| 69.04860|56030.7575810185|182527.40000|HOLMBERG IX X-1         |
     40|707035010|262.08020|-14.26100|56344.8907407407|182299.00000|PDS 456                 |
     41|703043010|166.10810| 38.20210|54591.1196527778|180785.10000|MRK 421                 |
     42|801097010|194.92670| 27.90610|53886.8435300926|178657.20000|COMA RADIO HALO         |
     43|800009010| 28.25290|-13.73620|53734.3673611111|177192.90000|NGC720                  |
     44|508072010| 77.41630|-67.51630|56393.0595949074|175919.20000|0509-67.5               |
     45|500010010|132.29260|-45.61570|53723.4478240741|175453.00000|RXJ_0852-4622_NW        |
