obsid,region,snr,xis
100002010,r1r,  SNR J052501-693842  ,0 1 2 3 
100002010,r0r,- BACKGROUND,0 1 2 3 
100002060,r1r,  SNR J052501-693842  ,0 1 2 3 
100002060,r0r,- BACKGROUND,0 1 2 3 
100003010,r5r,  MQS J050629.33-680412.1  ,0 1 2 3 
100003010,r2r,  SNR J050555-680150  ,0 1 2 3 
100003010,r4r,  [SHP2000] LMC 21  ,0 1 2 3 
100003010,r3r,  [VV2006c] J050550.3-675017  ,0 1 2 3 
100003010,r6r,  [VV2006c] J050550.3-675017  ,0 1 2 3 
100003010,r1r,  SNR B0505-67.9  ,0 1 2 3 
100003010,r0r,- BACKGROUND,0 1 2 3 
100009010,r3r,  SNR G320.4-01.0  ,0 1 2 3 
100009010,r6r,  PSR B1509-58  ,0 1 2 3 
100009010,r7r,  SNR G320.3-01.1  ,0 1 2 3 
100009010,r1r,  SNR G320.6-01.6  ,0 1 2 3 
100009010,r4r,  SNR G320.3-01.1  ,0 1 2 3 
100009010,r5r,  SNR G320.6-01.6  ,0 1 2 3 
100009010,r2r,  SNR G320.4-01.2  ,0 1 2 3 
100010030,r0r,- BACKGROUND,0 1 3 
100010040,r1r,HD 36707,0 1 3 
100010040,r0r,- BACKGROUND,0 1 3 
100010050,r0r,- BACKGROUND,0 1 3 
100010080,r1r,SNR G184.6-05.8,0 1 3 
100010080,r3r,M 1,0 1 3 
100010080,r0r,- BACKGROUND,0 1 3 
100010080,r2r,M 1,0 1 3 
100010080,r5r,V* CM Tau,0 1 3 
100010080,r4r,V* CM Tau,0 1 3 
100010090,r0r,- BACKGROUND,0 1 3 
100010100,r0r,- BACKGROUND,0 1 3 
100010110,r0r,- BACKGROUND,0 1 3 
100010120,r1r,SNR G184.6-05.8,0 1 3 
100010120,r5r,V* CM Tau,0 1 3 
100010120,r2r,M 1,0 1 3 
100010120,r0r,- BACKGROUND,0 1 3 
100010120,r6r,HD 245010,0 1 3 
100010120,r4r,V* CM Tau,0 1 3 
100010120,r3r,M 1,0 1 3 
100010140,r1r,SNR G184.6-05.8,0 1 3 
100010140,r0r,- BACKGROUND,0 1 3 
100010140,r3r,M 1,0 1 3 
100010140,r2r,M 1,0 1 3 
100010140,r6r,HD 245010,0 1 3 
100010140,r4r,V* CM Tau,0 1 3 
100010140,r5r,V* CM Tau,0 1 3 
100013010,r0r,- BACKGROUND,0 1 2 3 
100013010,r3r,  SNR J050854-684447  ,0 1 2 3 
100013010,r1r,  RX J050730-68470  ,0 1 2 3 
100013010,r2r,  LHA 120-N 103B  ,0 1 2 3 
100014010,r1r,  2E 273  ,0 1 2 3 
100014010,r3r,  LHA 115-N 78C  ,0 1 2 3 
100014010,r4r,  SNR B0102-72.3  ,0 1 2 3 
100014010,r0r,- BACKGROUND,0 1 2 3 
100014010,r7r,  SNR B0101-72.6  ,0 1 2 3 
100014010,r6r,  SNR B0104-72.2  ,0 1 2 3 
100014010,r5r,  [MA93] 1367  ,0 1 2 3 
