    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
      1|SNR G299.2-02.9|183.804|-65.500|          18.0|S   |              |                          |        SNR SHELL|
      2|SNR G312.5-03.0|215.250|-64.200|          20.0|S   |              |                          |        SNR SHELL|
      3|SNR G301.4-01.0|189.479|-63.817|          37.0|S   |              |                          |        SNR SHELL|
      4|SNR G308.4-01.4|280.375|-63.733|          12.0|S?  |              |                          |        SNR SHELL|
      5|SNR G306.3-00.9|200.458|-63.567|           4.0|S?  |          0.50|                          |        SNR SHELL|
      6|SNR G310.6-01.6|210.188|-63.433|           2.5|C?  |              |                          |    SNR COMPOSITE|
      7|SNR G299.6-00.5|185.438|-63.150|          13.0|S   |              |                          |        SNR SHELL|
      8|SNR G296.7-00.9|178.875|-63.133|          15.0|S   |          0.50|                          |        SNR SHELL|
      9|SNR G308.1-00.7|204.404|-63.067|          13.0|S   |              |                          |        SNR SHELL|
     10|SNR G309.2-00.6|206.629|-62.900|          15.0|S   |          0.40|                          |        SNR SHELL|
     11|SNR G298.5-00.3|183.167|-62.867|           5.0|?   |          0.40|                          |              SNR|
     12|SNR G304.6+00.1|196.496|-62.700|           8.0|S   |          0.50|KES 17                    |        SNR SHELL|
     13|SNR G298.6-00.0|183.421|-62.617|          12.0|S   |          0.30|                          |        SNR SHELL|
     14|SNR G296.8-00.3|179.625|-62.583|          20.0|S   |          0.60|1156-62                   |        SNR SHELL|
     15|SNR G296.1-00.5|177.792|-62.567|          37.0|S   |          0.60|                          |        SNR SHELL|
     16|SNR G315.4-02.3|220.750|-62.500|          42.0|S   |          0.60|RCW 86, MSH 14-63         |        SNR SHELL|
     17|SNR G308.8-00.1|205.625|-62.383|          30.0|C?  |          0.40|                          |    SNR COMPOSITE|
     18|SNR G310.8-00.4|210.000|-62.283|          12.0|S   |              |KES 20A                   |        SNR SHELL|
     19|SNR G310.6-00.3|209.500|-62.150|           8.0|S   |              |KES 20B                   |        SNR SHELL|
     20|SNR G302.3+00.7|191.479|-62.133|          17.0|S   |          0.40|                          |        SNR SHELL|
     21|SNR G309.8+00.0|207.625|-62.083|          25.0|S   |          0.50|                          |        SNR SHELL|
     22|SNR G311.5-00.3|211.408|-61.967|           5.0|S   |          0.50|                          |        SNR SHELL|
     23|SNR G312.4-00.4|213.250|-61.733|          38.0|S   |          0.36|                          |        SNR SHELL|
     24|SNR G294.1-00.0|174.042|-61.633|          40.0|S   |              |                          |        SNR SHELL|
     25|SNR G292.2-00.5|169.833|-61.467|          20.0|S   |          0.50|                          |        SNR SHELL|
     26|SNR G290.1-00.8|165.771|-60.933|          19.0|S   |          0.40|MSH 11-61A                |        SNR SHELL|
     27|SNR G293.8+00.6|173.750|-60.900|          20.0|C   |          0.60|                          |    SNR COMPOSITE|
     28|SNR G291.0-00.1|167.975|-60.633|          15.0|C   |          0.29|(MSH 11-62)               |    SNR COMPOSITE|
     29|SNR G315.4-00.3|218.979|-60.600|          24.0|?   |          0.40|                          |              SNR|
     30|SNR G289.7-00.3|165.312|-60.300|          18.0|S   |          0.20|                          |        SNR SHELL|
     31|SNR G315.9-00.0|219.604|-60.183|          25.0|S   |              |                          |        SNR SHELL|
     32|SNR G316.3-00.0|220.375|-60.000|          29.0|S   |          0.40|(MSH 14-57)               |        SNR SHELL|
